filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
contracts_output/contracts_output/deepseek_with_rag_contracts/1004.sol,1004.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771006010.8372257,1.234311580657959,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1009.sol,1009.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005814.730229,1.4445898532867432,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1010.sol,1010.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005622.716697,54.351170778274536,0,{Integer_Underflow},"{coverage OfferFiller 42.0%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1032.sol,1032.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005960.7534685,1.643139123916626,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1053.sol,1053.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771006087.602212,56.19594764709473,0,"{Integer_Overflow,Integer_Underflow}","{coverage GameBoard 73.8%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/107.sol,107.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005805.976553,1.3993220329284668,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1091.sol,1091.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005934.5409727,47.55642819404602,1,"{Integer_Underflow,Re_Entrancy_Vulnerability}","{coverage MyContract 81.5%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1094.sol,1094.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771006112.7018957,64.62300395965576,0,{Integer_Underflow},"{coverage NeumarkCalculator 82.1%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/110.sol,110.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005828.644418,1.3300597667694092,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1111.sol,1111.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771006127.1140552,1.313948631286621,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1142.sol,1142.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005706.1885495,1.6334400177001953,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1147.sol,1147.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005935.1690993,80.55433201789856,0,"{Integer_Overflow,Integer_Underflow}","{coverage QuestionContract 47.4%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1148.sol,1148.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005670.5528824,74.88148021697998,0,"{Integer_Overflow,Integer_Underflow}","{coverage SafeMath 98.4%,coverage Token 73.5%}",{},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1160.sol,1160.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005762.0939326,79.57559585571289,0,{Integer_Underflow},"{coverage ItemPrices 82.4%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1164.sol,1164.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005688.951937,1.712254524230957,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1195.sol,1195.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005599.254196,2.548527479171753,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1213.sol,1213.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005968.965933,1.0030996799468994,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1228.sol,1228.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005818.8282,1.712251901626587,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/124.sol,124.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005758.5704308,1.2940983772277832,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1244.sol,1244.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005899.0187743,64.74286890029907,0,"{Integer_Overflow,Integer_Underflow}","{coverage GreyMarket 71.4%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1247.sol,1247.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771006134.7114277,1.434654712677002,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1259.sol,1259.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771006050.4357502,1.2744126319885254,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1262.sol,1262.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771006111.1048172,1.107327938079834,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1265.sol,1265.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005888.1666017,1.0464060306549072,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1268.sol,1268.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771006012.931023,54.6994252204895,0,{Integer_Underflow},"{coverage PledgeManager 74.4%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1281.sol,1281.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005861.588871,32.71837329864502,0,"{Integer_Overflow,Integer_Underflow}","{coverage AttestationContract 32.4%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1283.sol,1283.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771006061.432052,1.284660816192627,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1286.sol,1286.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005603.0968072,1.9060513973236084,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1315.sol,1315.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771006031.8116555,1.550769567489624,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1319.sol,1319.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005624.8004317,59.1177933216095,0,"{Integer_Overflow,Integer_Underflow}","{coverage SafeMath 98.4%,coverage Token 86.8%}",{},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1334.sol,1334.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005987.3101304,1.050401210784912,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1335.sol,1335.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771006158.8139694,1.8485381603240967,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1356.sol,1356.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005908.086231,81.18700361251831,0,"{Integer_Overflow,Integer_Underflow}","{coverage MyContract 81.3%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1358.sol,1358.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005860.9563997,1.1264116764068604,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1383.sol,1383.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771006119.8622715,1.2758593559265137,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1386.sol,1386.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005894.611918,80.1578676700592,0,{Integer_Underflow},"{coverage DepositManager 83.0%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1398.sol,1398.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005880.4441257,1.2586925029754639,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1413.sol,1413.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005964.8129046,55.622835636138916,0,"{Integer_Overflow,Integer_Underflow}","{coverage BoardManager 39.5%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1424.sol,1424.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771006012.1565797,1.5930991172790527,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1438.sol,1438.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771006150.8524387,2.3722739219665527,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1443.sol,1443.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005910.5241582,1.4197111129760742,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/146.sol,146.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005729.868401,58.59746289253235,0,"{Integer_Overflow,Integer_Underflow}","{coverage SafeMath 98.4%,coverage TokenPurchase 82.5%}",{},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1493.sol,1493.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771006050.9677603,1.3358631134033203,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1522.sol,1522.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005631.7171361,52.56703591346741,1,"{Callstack_Depth_Attack_Vulnerability,Integer_Underflow}","{coverage CurrencyTransfer 40.0%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/153.sol,153.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005857.09704,82.69571423530579,0,{Integer_Underflow},"{coverage ProjectManagement 63.4%,coverage SafeMath 98.4%}",{},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1531.sol,1531.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005726.586547,0.9313356876373291,1,{},{analysis incomplete},{Solidity compilation failed},{}
contracts_output/contracts_output/deepseek_with_rag_contracts/1558.sol,1558.sol,oyente+-060ca34,solidity,2025/06/04,20260213_1759,1771005704.4256313,57.19638991355896,0,{Integer_Underflow},"{coverage SafeMath 98.4%,coverage Token 69.4%}",{},{}
